,RN,RY,DN,DY,total
dump,0.0,0.00561797752809,0.00687285223368,0.0,4.0
2.8,0.0,0.00280898876404,0.00687285223368,0.0,3.0
chambers,0.0,0.00561797752809,0.0,0.0,2.0
2.1,0.0,0.00561797752809,0.0,0.0,2.0
practices,0.0,0.0786516853933,0.0996563573883,0.0,57.0
2.5,0.0,0.00561797752809,0.0103092783505,0.0227272727273,6.0
threats,0.0,0.0112359550562,0.020618556701,0.0,10.0
numerous,0.0,0.00842696629213,0.0171821305842,0.0,8.0
korea,0.0,0.00561797752809,0.00343642611684,0.0,3.0
creating,0.0,0.0168539325843,0.0446735395189,0.0,19.0
attention,0.0,0.0252808988764,0.0481099656357,0.0,23.0
succeed,0.0,0.0252808988764,0.0412371134021,0.0,21.0
franchise,0.0,0.00561797752809,0.00343642611684,0.0,3.0
non-elected,0.0,0.00561797752809,0.0,0.0,2.0
c,0.0,0.0168539325843,0.00687285223368,0.0,8.0
oversee,0.0,0.00280898876404,0.00687285223368,0.0,3.0
context,0.0,0.0140449438202,0.0103092783505,0.0,8.0
finds,0.0,0.0112359550562,0.00343642611684,0.0,5.0
reside,0.0,0.0112359550562,0.0,0.0,4.0
ranchers,0.0,0.0140449438202,0.0,0.0,5.0
reasons,0.0,0.0168539325843,0.0412371134021,0.0,18.0
slots,0.0,0.0112359550562,0.0103092783505,0.0,7.0
decline,0.0,0.00280898876404,0.00687285223368,0.0,3.0
political,0.0,0.0308988764045,0.0549828178694,0.0,27.0
strategy,0.0,0.00842696629213,0.00687285223368,0.0,5.0
whom,0.0,0.0140449438202,0.0309278350515,0.0,14.0
pa,0.0,0.0112359550562,0.0,0.0,4.0
flight,0.0,0.0112359550562,0.0,0.0,4.0
h.was,0.0,0.00561797752809,0.0103092783505,0.0,5.0
brokers,0.0,0.00561797752809,0.0,0.0,2.0
plants,0.0,0.0196629213483,0.0240549828179,0.0681818181818,17.0
stolen,0.0,0.00280898876404,0.00343642611684,0.0,2.0
indefinitely,0.0,0.00280898876404,0.00687285223368,0.0,3.0
evaluated,0.0,0.00280898876404,0.00343642611684,0.0,2.0
expressly,0.0,0.00842696629213,0.0,0.0,3.0
behavior,0.0,0.0112359550562,0.0103092783505,0.0,7.0
engineers,0.0,0.00280898876404,0.00687285223368,0.0,3.0
disappointing,0.0,0.00280898876404,0.0,0.0454545454545,3.0
reprogram,0.0,0.00561797752809,0.0,0.0,2.0
prograto,0.0,0.00561797752809,0.0515463917526,0.0,17.0
lengthy,0.0,0.00561797752809,0.00687285223368,0.0,4.0
widely,0.0,0.00561797752809,0.00343642611684,0.0,3.0
9,0.0,0.0280898876404,0.0171821305842,0.0,15.0
restraint,0.0,0.00280898876404,0.0,0.0227272727273,2.0
negotiate,0.0,0.0112359550562,0.00343642611684,0.0,5.0
